employee_id,first_name,last_name,gender,dob,personal_email,official_email,phone,city,state,address,department,designation,joining_date,exit_date,employment_status,employment_type,salary,grade,pan_number,uan_number,bank_account,ifsc_code,bank_name,manager_id,branch_location,cost_center,remarks
EMP-00029,Salman,Sen,Male,13/10/2002,salman-sen@protonmail.com,NA,6353514941,Meerut,Uttar Pradesh,"Flat 1084, MG Nagar",R&D,Senior Executive,December 06 2019,,Active,Full Time,267507,G4,Applied,NA,Not Submitted,PUNB0001234,Canara Bank,EMP-00006,Regional Office,CC-734,Star performer
EMP-00030,Chetan,Iyengar.,Male,14-Aug-89,#N/A,,+91-72980-91994,Hisar,Haryana,"Flat 1033, MG Nagar",IT,Associate,2010-12-03,,Active,Intern,37770,G7,IUTTY7652K,395125018490,85004701740,NA,SBI,EMP-00016,Hisar,CC-839,Confirmed
EMP-00031,  Shruti,Menon,Female,22-06-2002,,,N/A,Kochi,Kerala,"Flat 1933, Nehru Colony",IT,Executive,13-01-2013,,Absconding,Contract,181731,G6,CXDWB5999T,436745509735,19310884565,,HDFC Bank,EMP-00018,Head Office,CC-560,
EMP-00032,Aarav,,Female,1978/05/15,aaravm@hotmail.com,aarav.mahindra@company.co.in,8837320518,Tiruppur,Tamil Nadu,NA,Production,DGM,2015-06-05,,Active,Full Time,92501,G5,TSSBM5782C,625472839672,13703875755,,Axis Bank,EMP-00003,Tiruppur,CC-397,Resigned - Notice period
EMP-00033,  Ananya,Shinde,F,13/06/1968,not provided,ananya.shinde@company.co.in,09158582525,Chandigarh,Chandigarh,"Flat 1930, Sector 71",R&D,Supervisor,27/04/2006,,Terminated,Full Time,185966,E1,Applied,NA,59955202861,BARB0001234,IOB,EMP-00010,Chandigarh,,
EMP-00034,Archana,Bajaj,Female,10-Jun-00,arcbajaj@rediffmail.com,archana.bajaj@company.co.in,9124369711,Udaipur,Rajasthan,"Flat 1958, Sector 13",IT,Director,28/09/2015,,Active,Consultant,118366,G4,IXAWZ4347M,NA,,CNRB0001234,Axis Bank,EMP-00005,Udaipur,,
EMP-00035,  Sneha,Lahiri,,7/5/1976,sneha842@business.co.in,slahiri@company.co.in,08853259855,Barmer,Rajasthan,"Flat 1272, Shivaji Nagar",Procurement,Consultant,14/05/2008,,Active,Full Time,44175,G4,NBEPQ1013F,354263968968,,CNRB0001234,HDFC Bank,HOD,Barmer,,Resigned - Notice period
EMP-00036,Rakesh,Venkat,Other,1982-07-09,venkatrakesh@outlook.com,,7581049359,Neemrana,Rajasthan,"Flat 579, Sector 80",Procurement,AGM,19-Jun-21,,Absconding,Part Time,18539,G1,VXBSF4985Y,,,IOBA0001234,SBI,EMP-00036,Neemrana,,Star performer
EMP-00037,,bajaj,Female,1985/07/04,tarun843@protonmail.com,,+91 87952 74805,Tiruchirappalli,Tamil Nadu,"Flat 816, Nehru Colony",Marketing,GM,06/27/2014,,On Leave,Intern,111532,G3,HRBWY1223A,451996963405,59020387545,,ICICI Bank,EMP-00002,Tiruchirappalli,CC-979,
EMP-00038,Sanjay  ,Chakraborty,Male,22 Nov 1986,not provided,,08171044539,Jalandhar,Punjab,"Flat 1230, Shivaji Nagar",Logistics,VP,02.05.2010,,Resigned,Full Time,140423,G2,YVBTZ3851H,567063671441,68107966408,HDFC0001234,SBI,,Jalandhar,CC-648,Absconding
EMP-00039,,SHUKLA,Male,09/12/1976,suresh-shukla@company.in,,+916341662325,Coimbatore,Tamil Nadu,"Flat 1514, MG Nagar",Admin,Intern,2020-08-23,NA,Active,Full Time,111814,G4,JJZLD3882E,,68027079161,UBIN0001234,Axis Bank,EMP-00022,Coimbatore,CC-512,On probation
EMP-00040,Jayanti,Rao,Male,July 02 2002,jayanti_rao@hotmail.com,NA,918473643521,Nagpur,Maharashtra,,HR,Officer,2013-05-14,,Active,Full Time,51024,M2,Applied,Not Enrolled,39623890564,SBIN0003456,Bank of Baroda,EMP-00026,Nagpur,CC-559,On probation
EMP-00041,Amita,Chatterjee,Female,08/05/1969,chatterjee-amita@icloud.com,amita.chatterjee@company.co.in,+91 79756 81737,Gwalior,Madhya Pradesh,NA,Logistics,Trainee,2005/03/14,,Active,Full Time,22919,G7,Applied,904972823408,NA,ICIC0002345,NA,EMP-00029,Gwalior,NA,
EMP-00042,Vijay,,Other,11/07/1996,vijay945@yahoo.co.in,vijay.chauhan@company.co.in,97533 43677,Gwalior,Madhya Pradesh,NA,Sales,Senior Executive,07/22/2019,NA,Active,Intern,,G1,Applied,466861424692,25346691785,NA,HDFC Bank,,Gwalior,CC-199,
EMP-00043,Yash,Khanna,,04/09/1997,yash526@ymail.com,NA,9202-3017-27,Salem,Tamil Nadu,"Flat 670, Shivaji Nagar",Sales,Analyst,15-Jul-09,,Active,Intern,278790,G2,LGMLU8732Y,669120374491,87308754819,,SBI,EMP-00036,Regional Office,CC-903,Performance PIP
EMP-00044,Amita,Venkat,Female,10/20/1998,test@test,amita.venkat@company.co.in,66194 80467,Patiala,Punjab,"Flat 1403, Gandhi Road",Admin,Intern,26 Feb 2023,NA,Active,Full Time,,G1,Applied,833150376712,,BARB0001234,SBI,EMP-00003,Head Office,CC-183,Resigned - Notice period
EMP-00045,Nikhil,Jadhav,Female,1991/05/03,njadhav@gmail.com,nikhil.jadhav@company.co.in,,Nashik,Maharashtra,"Flat 578, MG Nagar",Production,Manager,2022-07-20,,Active,Apprentice,108049,G3,VJHEK4606O,403909299226,74260482017,AXIS0004567,HDFC Bank,EMP-00004,Nashik,CC-911,
EMP-00046,Indira,,Female,1989-09-19,#N/A,indira.mahindra@company.co.in,+91-73811-26390,Allahabad,Uttar Pradesh,"Flat 506, Sector 24",Legal,Executive,2008-03-02,2013/11/29,Active,Full Time,34951,G4,,Not Enrolled,90074970153,KOTK0005678,Kotak Bank,EMP-00028,Allahabad,CC-392,Confirmed
EMP-00047,Mahesh,,Male,04/10/1987,bajaj-mahesh@icloud.com,mahesh.bajaj@company.co.in,7710449762,Pali,Rajasthan,"Flat 730, Nehru Colony",IT,Manager,24/05/2012,,Active,Full Time,179162,G7,GAFAG1187L,,90094979485,NA,IOB,HOD,Pali,CC-925,
EMP-00048,  Nagesh,Singh,M,25/07/1993,nagsingh@gmail.com,NA,+918400674677,Sikar,Rajasthan,NA,,Director,28/07/2023,31 May 2024,Retired,Full Time,16944,G2,XBODZ7796B,864151538712,20970086076,,SBI,,Sikar,,
EMP-00049,Manish,Iyengar,Female,03-09-1986,iyengar_manish@gmail.com,manish.iyengar@company.co.in,+91 71302 59760,Kochi,Kerala,,,Trainee,07/29/2017,,Active,Full Time,188118,G2,VMTVC0458L,300352001851,56409709468,PUNB0001234,SBI,,Kochi,,Confirmed
EMP-00050,  Madhu,Oberoi,Female,,N/A,,98116 86734,Noida,Uttar Pradesh,"Flat 511, Gandhi Road",Customer Service,DGM,2012-07-27,,,Full Time,As per CTC,G2,,663122964627,NA,NA,PNB,,Regional Office,CC-524,Confirmed
EMP-00051,Ananya,Chaudhary.,Female,24-Dec-92,#N/A,ananya.chaudhary@company.co.in,64818 48812,Patna,Bihar,"Flat 223, Gandhi Road",R&D,Senior Executive,04/11/2018,Active,Active,Full Time,139019,G4,AEZWU1307Y,473981623302,51304050974,,ICICI Bank,EMP-00047,Patna,CC-180,
EMP-00052,Geeta,Oberoi,Male,1974-05-06,geobe@rediffmail.com,geeta.oberoi@company.co.in,6570634767,Mumbai,Maharashtra,NA,Production,GM,12/05/2006,,Resigned,Part Time,79281,G4,Applied,736110693879,69900724660,HDFC0001234,Canara Bank,EMP-00009,Mumbai,NA,On probation
EMP-00053,,Shah,Female,16/5/1991,priya-shah@yahoo.co.in,pshah@company.co.in,+916191848187,Jabalpur,Madhya Pradesh,"Flat 966, MG Nagar",Finance,VP,October 31 2022,,Resigned,Consultant,194241,G4,FPRNC5469C,820143883228,78993038699,BARB0001234,PNB,EMP-00012,,CC-829,Resigned - Notice period
EMP-00054,Krishna,,Female,01/30/1994,krichatterjee@hotmail.com,NA,6886184971,Guntur,Andhra Pradesh,,IT,GM,05/11/2017,Active,On Leave,Full Time,Confidential,G3,GALII4203K,,14575466792,,NA,EMP-00029,Head Office,NA,Confirmed
EMP-00055,Nikhil,Jain,Male,19/02/1989,nikhil824@icloud.com,nikhil.jain@company.co.in,+916366447303,Indore,Madhya Pradesh,"Flat 1192, Nehru Colony",Operations,DGM,21/04/2022,,On Leave,Full Time,40480,G5,QJEAR3291A,254238961289,98464952606,NA,,EMP-00026,Indore,CC-372,Resigned - Notice period
EMP-00056,Tarun,Patil,Female,1983-01-10,tapat@company.in,tarun.patil@company.co.in,7148235556,Ambala,Haryana,NA,Production,Team Lead,14/1/2006,NA,Active,Part Time,108116,G3,N/A,750418537256,18602812522,,HDFC Bank,,Ambala,NA,On probation
EMP-00057,divya,Gaikwad,Female,02-12-1976,na@na.com,divya.gaikwad@company.co.in,9516618321,Nagpur,Maharashtra,,,AGM,17/11/2021,,Active,Intern,170488,G3,QFHSI7951R,,79142724363,NA,Canara Bank,EMP-00044,Nagpur,NA,Absconding
EMP-00058,Padma,Banerjee,Male,,N/A,padma.banerjee@company.co.in,+91-62128-92418,Bhilwara,Rajasthan,NA,Marketing,Supervisor,2020-06-26,Active,Terminated,Full Time,334507,G6,RYUYP5404R,918017809210,79560611098,ICIC0002345,HDFC Bank,EMP-00025,Head Office,CC-414,
EMP-00059,Prakash,,Female,1970-04-05,psen@hotmail.com,,+917945233344,Rohtak,Haryana,"Flat 1121, MG Nagar",Production,Senior Executive,04 Jan 2005,,Active,Intern,,G6,OJRVD6852J,202491588560,90054964991,ICIC0002345,Kotak Bank,NA,Rohtak,CC-299,Confirmed
EMP-00060,Ramesh,Pillai,Male,28-Jun-88,ramesh.pil@gmail.com,ramesh.pillai@company.co.in,+917312571013,Jodhpur,Rajasthan,"Flat 1732, Gandhi Road",Marketing,Associate,05-11-2018,Active,Active,Contract,53856,M2,AUDIK9240C,Not Enrolled,75764370793,ICIC0002345,SBI,EMP-00060,Jodhpur,,Confirmed
EMP-00061,Isha,Mitra,Male,04/02/1976,isha419@business.co.in,isha.mitra@company.co.in,9842274261,Nagpur,Maharashtra,NA,HR,GM,18/03/2023,Active,Active,Contract,96594 PM,G3,RBGTM3196C,,20780190526,SBIN0003456,HDFC Bank,,Nagpur,CC-654,
EMP-00062,Kavita,srivastava,Male,28/12/1971,kavitas@hotmail.com,NA,+917878899868,Surat,Gujarat,"Flat 1919, MG Nagar",Legal,Director,16/09/2010,10/8/2017,,Full Time,Confidential,G1,JTJQU9968L,688691636422,86679510156,,PNB,EMP-00017,Surat,,Transfer pending
EMP-00063,Dhruv,Das,F,21/10/1970,dhruv238@hotmail.com,dhruv.das@company.co.in,8563366881,Salem,Tamil Nadu,"Flat 1531, Gandhi Road",Operations,Director,2015-02-26,,Active,Full Time,60990,G1,TDGEA7684W,508265875305,60322702194,,Axis Bank,EMP-00053,Salem,CC-680,On maternity leave
EMP-00064,Simran,Agarwal,Male,1999/07/16,simran80@rediffmail.com,simran.agarwal@company.co.in,7248728244,Kanpur,Uttar Pradesh,"Flat 1782, Sector 2",Customer Service,Director,2008-11-11,Active,On Leave,Full Time,114845 PM,G6,QXVQQ5065C,426299635816,90516462372,SBIN0003456,SBI,EMP-00005,,,Performance PIP
EMP-00065,Seema,Banerjee,Male,07/05/1998,seemab@business.co.in,seema.banerjee@company.co.in,+91-65095-49916,Delhi,Delhi,"Flat 1105, Gandhi Road",Production,AGM,2014/08/25,,,Full Time,55934,G1,,NA,NA,NA,IOB,EMP-00017,Delhi,,
EMP-00066,Anand,Jadhav,Female,13/04/1995,jadhav-anand@outlook.com,anand.jadhav@company.co.in,+91 62423 72691,Bhilwara,Rajasthan,,HR,Analyst,2009-11-13,,Resigned,Full Time,109954,E1,,NA,34529574906,BARB0001234,PNB,EMP-00024,Regional Office,CC-937,
EMP-00067,Alok,Mandal,Male,,amandal@yahoo.co.in,alok.mandal@company.co.in,+918942849074,Delhi,Delhi,"Flat 1745, Sector 63",Legal,Intern,2017-11-07,04/02/2018,Active,Full Time,Confidential,G7,VUDAH4446W,179560017364,25417771364,NA,Union Bank,EMP-00061,,CC-115,On probation
EMP-00068,Indira,,Female,1988-07-12,indkale@yahoo.co.in,indira.kale@company.co.in,07497887969,Ambala,Haryana,,IT,Associate,21/03/2016,,On Leave,Full Time,259644,NA,,721671401326,37991368658,PUNB0001234,SBI,NA,,NA,
EMP-00069,Manish,Kale,M,19/02/1983,#N/A,manish.kale@company.co.in,9514241082(W),Tiruppur,Tamil Nadu,"Flat 636, Gandhi Road",Marketing,Consultant,27/08/2017,,Active,Consultant,Confidential,M2,LRCUE9120G,589368163893,34933781722,HDFC0001234,Union Bank,EMP-00005,Tiruppur,CC-749,Confirmed
EMP-00070,,Ghosh,,29 Sep 1990,meerag@outlook.com,meera.ghosh@company.co.in,08790573989,Rajkot,Gujarat,NA,Finance,GM,25 Apr 2007,30 Aug 2023,Active,,,G5,FVBIX3563S,NA,29545698854,,Kotak Bank,,Rajkot,CC-462,
EMP-00071,,Venkat,Other,11 Sep 1968,na@na.com,salman.venkat@company.co.in,93615 88721,Hyderabad,Telangana,"Flat 1968, Nehru Colony",Admin,Manager,,,Terminated,Full Time,,G3,XRAZS9557I,NA,29892889542,HDFC0001234,Kotak Bank,EMP-00018,Hyderabad,CC-975,
EMP-00072,Archana,Kadam,Male,,archana-kad@ymail.com,akadam@company.co.in,Not Available,Nashik,Maharashtra,"Flat 1839, Shivaji Nagar",Customer Service,Officer,06 Feb 2019,NA,Active,Full Time,354963,,WEYFS9466D,153019819082,NA,NA,PNB,NA,Nashik,,
EMP-00073,VIJAY,Nair,Male,19-Sep-70,test@test,NA,+91-96562-39806,Tiruchirappalli,Tamil Nadu,"Flat 1840, Nehru Colony",Logistics,Consultant,02/10/2016,,Active,Intern,,G1,UCNRK5042Y,531002110490,,SBIN0003456,Union Bank,EMP-00004,,CC-711,Confirmed
EMP-00074,Aryan,Pandey,Male,01-12-1992,aryan_pandey@gmail.com,aryan.pandey@company.co.in,Not Available,Hisar,Haryana,"Flat 890, Sector 70",R&D,Executive,17/07/2012,,Resigned,Full Time,40575,G3,,343042871691,,NA,Union Bank,,Head Office,NA,
EMP-00075,Priya,Rao,Female,1993/01/12,priya325@hotmail.com,NA,6346734304,Gwalior,Madhya Pradesh,"Flat 1803, MG Nagar",Production,Associate,12/12/2008,NA,Resigned,Full Time,117649,G5,Applied,515781124292,21955865142,,,EMP-00029,,,
EMP-00076,,SHARMA,Male,04/15/2002,basha@icloud.com,,09103223436,Bathinda,Punjab,"Flat 950, Gandhi Road",R&D,Manager,,,Active,Consultant,210823,G3,,390073149627,16309313930,NA,HDFC Bank,,Bathinda,CC-590,
EMP-00077,Usha,Srivastava,Female,,test@test,usha.srivastava@company.co.in,+91-66609-90922,Surat,Gujarat,NA,Logistics,Manager,28-Aug-22,,Active,Apprentice,16973,M2,RUCYQ1530J,NA,,,ICICI Bank,,Surat,CC-318,Confirmed
EMP-00078,SALMAN,Chaudhary,Female,,#N/A,salman.chaudhary@company.co.in,+918330183004,Tiruchirappalli,Tamil Nadu,"Flat 1394, Shivaji Nagar",,VP,18/05/2023,2023-11-19,Active,Contract,,G5,YZACK8661E,153080222068,39285623528,ICIC0002345,ICICI Bank,,Tiruchirappalli,CC-526,
EMP-00079,Kiran,Bhosale,Male,13/05/1977,kiran_bho@yahoo.co.in,kbhosale@company.co.in,N/A,Jodhpur,Rajasthan,,Finance,GM,2013-09-27,Active,Active,Full Time,,G1,PHUZB5231A,Not Enrolled,99600765441,KOTK0005678,SBI,EMP-00028,Regional Office,CC-470,Confirmed
EMP-00080,Salman,Mittal,Female,23/09/1974,salman84@ymail.com,,916677774294,Jodhpur,Rajasthan,"Flat 690, Nehru Colony",,Senior Executive,04/09/2018,,Active,Full Time,Confidential,,KSUOD3034G,,76134357695,,HDFC Bank,EMP-00031,Jodhpur,CC-832,Absconding
EMP-00081,Anand,,,1998/06/20,ancha@ymail.com,NA,916531880863,Bengaluru,Karnataka,"Flat 301, MG Nagar",Production,Intern,2021-05-30,October 12 2021,,Full Time,110977,G4,,,42036661450,NA,Union Bank,EMP-00040,Head Office,,
EMP-00082,Laxmi,Desai,Male,24/04/1969,laxmid@hotmail.com,laxmi.desai@company.co.in,9566378160(W),Bikaner,Rajasthan,"Flat 1079, MG Nagar",Legal,Director,04/07/2014,,Active,Full Time,,G4,LDBSF1590M,154021736588,NA,,Kotak Bank,EMP-00016,Bikaner,,Performance PIP
EMP-00083,Wasim,Reddy,Male,25-May-98,wreddy@rediffmail.com,wasim.reddy@company.co.in,+91-98443-73936,Bhiwadi,Rajasthan,NA,Legal,AGM,26/06/2008,,Active,Full Time,230154,G7,INKKU3062U,,17452931621,,Union Bank,EMP-00023,Bhiwadi,CC-211,Confirmed
EMP-00084,Gaurav  ,Rajput,Male,01-09-1992,gauravraj@icloud.com,gaurav.rajput@company.co.in,07768909874,Jalandhar,Punjab,"Flat 1268, Shivaji Nagar",,Consultant,26/06/2024,,Active,Part Time,58232,G6,IGOJC7958M,690423173582,56311751476,NA,Kotak Bank,EMP-00051,,CC-839,
EMP-00085,Farhan  ,Wadia,Male,16-11-2001,fwadia@company.in,farhan.wadia@company.co.in,916891509665,Rajkot,Gujarat,NA,Production,Officer,2009-02-07,,Active,Full Time,261964,G5,GZLEY1333P,NA,NA,UBIN0001234,Axis Bank,EMP-00010,Head Office,,
EMP-00086,Gaurav,,Female,15-01-1983,,gaurav.tiwari@company.co.in,918248110901,Ranchi,Jharkhand,,Sales,Analyst,10 Aug 2016,,Active,Contract,22084,G5,,819918465211,58327334811,,HDFC Bank,EMP-00034,Ranchi,CC-262,Absconding
EMP-00087,Sunita,Jain.,Male,1970-05-11,jain.sunita@protonmail.com,sunita.jain@company.co.in,+919183379065,Bathinda,Punjab,"Flat 75, Gandhi Road",Quality,VP,07.01.2008,,Active,Full Time,,G5,,,,PUNB0001234,Kotak Bank,EMP-00001,Head Office,CC-300,On probation
EMP-00088,,Yadav,Female,20/12/1988,swatiy@icloud.com,NA,7576184026,Kochi,Kerala,NA,,AGM,31/07/2015,,Probation,Consultant,As per CTC,M1,GCDFX3746Z,615838939537,77777465790,,HDFC Bank,EMP-00050,Head Office,CC-143,
EMP-00089,Zubair,Kale,F,1991-09-08,zubairk@hotmail.com,,9185894305,Coimbatore,Tamil Nadu,"Flat 620, Shivaji Nagar",Security,Director,11/04/2020,,Resigned,Part Time,203519,NA,MJGCE4009K,432325387842,Not Submitted,ICIC0002345,Union Bank,EMP-00061,Regional Office,,Confirmed
EMP-00090,Deepak,Gupta,Male,1983-10-26,deepakg@outlook.com,dgupta@company.co.in,919502363530,Mumbai,Maharashtra,NA,Marketing,Manager,25 Feb 2014,Active,Probation,Full Time,29262,G5,DYXMW9896S,556485613576,NA,PUNB0001234,HDFC Bank,EMP-00010,Head Office,NA,Transfer pending
